DIA CRONOLOGICO,CENA,PLANOS,DESCRIÇÃO CENA,ELENCO,LOCAÇÃO / SET,OBSERVAÇÕES CONTITNUIDADE
DIA 2,1,SÉRIE PD,ABERTURA. Eliéser toma café da manhã com os pais.,Eliéser / Maria / Lauro,CASA ELIÉSER / COZINHA / COPA,TV da cozinha no jornal da manhã / café da manhã servido / Horário 6h00
,,1 - CAFÉ PASSANDO,,,,
,,1.1 - DETALHE QUARTO ELIÉSER,,,,
,,1.2 - PD SOL ENTRANDO EM UMA FRESTA COZINHA,,,,
,,1.3 - CLOSE LAURO MARTIGANDO,,,,
,,1.4 - PD GOTEIRA DE UMA TORNEIRA,,,,
,,1.5 - PD PORTA ELIÉSER,,,,
,,1.6 - PG TRILHO - TV PARA SOFÁ,,,,
,,1.7 - PD COLOCANDO CAFÉ NA XICARÁ,,,,
,,1.8 - PM - ELIÉSER ENQUADRADO BATENTE DA PORTA,,,,
,,1.9 - PD LAURO AUMENTANDO O VOLUME,,,,
,,1.10 - PG TRILHO LATERAL MESA ,,,,
,,1.11 - PC ELIÉSER E MARIA,,,,
,,1.12 - CLOSE ELIÉSER,,,,
,,1.13 - PG CAM NA COZINHA,,,,
,,1.14 - PD TOALHA/ MÃO MÃE,,,,
,,1.15 - PC FRONTAL,,,,
,,1.16 - PG CANTO DA SALA PRÓXIMO A TV,,,,
,,,,,,
DIA 01 - FLASHBACK ,2,2 - ,Eliéser recebendo o prêmio de funcionario do mês.,Eliéser / Maurício / Marco Antônio / Diego / Caco / 4 Figurantes fúncionarios,LANCHONETE,Uniforme de Marco Antônio diferente do resto /  Crachá de Eliézer / Câmera fotográfica com flash / Horário 7h50 (antes de abrir para os clientes)
,,2.1 - PG,,,,
,,2.2 - PM GERENTE,,,,
,,2.3 - PC,,,,
,,2.4 - PC CACO/ MAURICIO,,,,
,,2.5 - PD CELULAR FOTO,,,,
,,2.6 - PC,,,,
,,pm,,,,
,,,,,,
DIA 03 (20 DIAS DEPOIS DO DIA 02),3,3 - PG da sala/ ou quarto Eliéser,Maria está no quarto sozinha.,Maria,CASA ELIÉSER / QUARTO DOS PAIS,Blusa dobrada / bolsa / Horário 10 - 11h
,,3.1 Detalhe janela ,,,,
,,PM ,,,,
,,3.2 detalhe ventilador,,,,
,,3.3 plano espelho,,,,
,,,,,,
